Region,Year ,Month,Price
Mid Wilshire,2011,11,459900
Palms,2011,11,466800
Pico-Union,2011,11,255300
Sawtelle,2011,11,523200
Silver Lake,2011,11,551700
Southeast Los Angeles,2011,11,161500
West Adams,2011,11,239700
Westwood,2011,11,579200
Bel Air,2012,1,1059100
Boyle Heights,2012,1,192300
Central City,2012,1,175200
Century City,2012,1,707300
Crenshaw,2012,1,281800
Downtown,2012,1,391200
Eagle Rock,2012,1,397200
Echo Park,2012,1,369700
Harbor City,2012,1,226000
Highland Park,2012,1,336400
Hollywood,2012,1,426000
Hyde Park,2012,1,230800
Jefferson Park,2012,1,243900
Koreatown,2012,1,318100
Los Feliz,2012,1,681700
Mid City,2012,1,348700
Mid Wilshire,2012,1,464800
Palms,2012,1,463000
Pico-Union,2012,1,257300
Sawtelle,2012,1,521900
Silver Lake,2012,1,572700
Southeast Los Angeles,2012,1,163600
West Adams,2012,1,241700
Westwood,2012,1,571400
Bel Air,2012,3,1069200
Boyle Heights,2012,3,191700
Central City,2012,3,181300
Century City,2012,3,710900
Crenshaw,2012,3,281400
Downtown,2012,3,397200
Eagle Rock,2012,3,402800
Echo Park,2012,3,386400
Harbor City,2012,3,214300
Highland Park,2012,3,335600
Hollywood,2012,3,421900
Hyde Park,2012,3,232800
Jefferson Park,2012,3,245700
Koreatown,2012,3,318900
Los Feliz,2012,3,690200
Mid City,2012,3,353300
Mid Wilshire,2012,3,470600
Palms,2012,3,461700
Pico-Union,2012,3,263800
Sawtelle,2012,3,516600
Silver Lake,2012,3,583300
Southeast Los Angeles,2012,3,164900
West Adams,2012,3,245000
Westwood,2012,3,576800
Bel Air,2012,5,1057800
Boyle Heights,2012,5,190400
Central City,2012,5,187100
Century City,2012,5,718500
Crenshaw,2012,5,280400
Downtown,2012,5,390800
Eagle Rock,2012,5,407900
Echo Park,2012,5,401300
Harbor City,2012,5,211100
Highland Park,2012,5,339200
Hollywood,2012,5,417400
Hyde Park,2012,5,236600
Jefferson Park,2012,5,246300
Koreatown,2012,5,320900
Los Feliz,2012,5,695800
Mid City,2012,5,352000
Mid Wilshire,2012,5,476900
Palms,2012,5,465100
Pico-Union,2012,5,267000
Sawtelle,2012,5,512800
Silver Lake,2012,5,595000
Southeast Los Angeles,2012,5,167700
West Adams,2012,5,245400
Westwood,2012,5,589800
Bel Air,2012,7,1075300
Boyle Heights,2012,7,191800
Central City,2012,7,192500
Century City,2012,7,721000
Crenshaw,2012,7,278200
Downtown,2012,7,395200
Eagle Rock,2012,7,424600
Echo Park,2012,7,416900
Harbor City,2012,7,214900
Highland Park,2012,7,349600
Hollywood,2012,7,421100
Hyde Park,2012,7,241600
Jefferson Park,2012,7,251700
Koreatown,2012,7,332500
Los Feliz,2012,7,693400
Mid City,2012,7,356100
Mid Wilshire,2012,7,484100
Palms,2012,7,475600
Pico-Union,2012,7,279600
Sawtelle,2012,7,510600
Silver Lake,2012,7,601400
Southeast Los Angeles,2012,7,173800
West Adams,2012,7,246100
